Top queries,Last 3 months (2023) Clicks,Last 3 months (2022) Clicks,Last 3 months (2023) Impressions,Last 3 months (2022) Impressions,Last 3 months (2023) CTR,Last 3 months (2022) CTR,Last 3 months (2023) Position,Last 3 months (2022) Position
party city in cookeville tennessee,0,0,0,1,0%,0%,0,91
southern spoon menu,0,0,0,1,0%,0%,0,91
beans 'n cream coffee house menu,0,0,0,1,0%,0%,0,92
carob gum in ice cream,0,0,0,1,0%,0%,0,92
city coffee shop menu,0,0,0,1,0%,0%,0,92
cookevilletn,0,0,0,1,0%,0%,0,93
sweet and hot ice cream menu,0,0,0,1,0%,0%,0,93
cookies and cream ice cream near me,0,0,0,1,0%,0%,0,94
blend coffee house,0,0,0,1,0%,0%,0,96
dariy free milk,0,0,0,1,0%,0%,0,96
ice cream flavor coffee,0,0,0,1,0%,0%,0,96
pectin in ice cream,0,0,0,1,0%,0%,0,96
the ice cream parlour menu,0,0,0,1,0%,0%,0,96
house of flavors ice cream flavors,0,0,0,1,0%,0%,0,97
ice cream and cafe,0,0,0,1,0%,0%,0,98
is caramel color natural or artificial,0,0,0,1,0%,0%,0,98
locust bean gum in ice cream,0,0,0,1,0%,0%,0,98
palm oil in ice cream,0,0,0,1,0%,0%,0,98
city coffee,0,0,0,1,0%,0%,0,99
ice cream open late near me,0,0,0,1,0%,0%,0,99
ice cream shop signage,0,0,0,1,0%,0%,0,99
rainbow ice cream shop,0,0,0,1,0%,0%,0,99
welcome cream,0,0,0,1,0%,0%,0,99
iced americano near me,0,0,0,1,0%,0%,0,100
tropical taste menu,0,0,0,1,0%,0%,0,102
gelato cup menu,0,0,0,1,0%,0%,0,103
the malt shop,0,0,0,1,0%,0%,0,107

# ----------------------------------------
# Report CSV Export
# Account: Iris 1
# Property: Cream City Ice Cream and Coffee House
# ----------------------------------------
#  
# Start date: 20230123
# End date: 20230422
Nth week,Average engagement time
0000,91.75630252100841
0001,94.98009950248756
0002,77.07638888888889
0003,72.20833333333333
0004,71
0005,90.74712643678161
0006,72.75280898876404
0007,88.79190751445087
0008,94.38421052631578
0009,83.28365384615384
0010,67.54945054945055
0011,76.05405405405405
0012,61.68789808917197

# Start date: 20230123
# End date: 20230422
Nth week,Engaged sessions per user
0000,0.8739495798319328
0001,0.8606965174129353
0002,0.8194444444444444
0003,0.8472222222222222
0004,0.7041420118343196
0005,0.7528735632183908
0006,0.8033707865168539
0007,0.815028901734104
0008,0.8736842105263158
0009,0.8269230769230769
0010,0.7747252747252747
0011,0.7189189189189189
0012,0.5859872611464968

# Start date: 20230123
# End date: 20230422
Nth week,Average engagement time per session
0000,67.81987577639751
0001,73.1455938697318
0002,58.415789473684214
0003,51.99
0004,54.789954337899545
0005,66.06694560669456
0006,55.81896551724138
0007,67.37280701754386
0008,71.44621513944223
0009,58.32659932659933
0010,52.09322033898305
0011,61.4410480349345
0012,47.47549019607843

#  
# Start date: 20230123
# End date: 20230422
Nth week,Views
0000,287
0001,446
0002,334
0003,346
0004,367
0005,444
0006,388
0007,459
0008,454
0009,538
0010,371
0011,378
0012,323

# Start date: 20230123
# End date: 20230422
Nth week,Event count
0000,842
0001,1338
0002,982
0003,999
0004,1072
0005,1238
0006,1140
0007,1269
0008,1319
0009,1488
0010,1128
0011,1112
0012,929

#  
# Start date: 20230123
# End date: 20230422
Event name,Event count
page_view,5135
user_engagement,2994
session_start,2943
first_visit,2168
scroll,1550
click,62
file_download,4

#  
# Start date: 20230123
# End date: 20230422
Page title and screen class,Views
"Ice Cream & Coffee in Cookeville, TN | Cream City Ice Cream and Coffee House",3184
"Icecream Flavors | Cookeville, TN | Cream City Icecream & Coffee",1394
About Us | Cream City Ice Cream and Coffee House,312
"Party Space in Cookeville, TN | Cream City Ice Cream and Coffee House",242
Sobre Nosotros | Heladería y cafetería Cream City,1
"कुकेविल, टीएन में आइसक्रीम और कॉफी | क्रीम सिटी आइसक्रीम और कॉफी हाउस",1
"﻿​​Ice Cream & Coffee in Cookeville, TN | Cream City Ice Cream and Coffee House",1

# How are active users trending?
# Start date: 20230123
# End date: 20230422
Nth day,30 days,7 days,1 day
0000,458,131,21
0001,464,134,14
0002,474,128,17
0003,480,131,19
0004,484,129,24
0005,497,134,27
0006,499,140,23
0007,481,127,8
0008,509,148,36
0009,525,157,26
0010,544,178,38
0011,568,192,38
0012,588,201,37
0013,593,200,23
0014,586,206,15
0015,584,190,18
0016,595,185,22
0017,604,169,22
0018,618,156,23
0019,631,144,25
0020,636,137,17
0021,632,138,17
0022,641,145,25
0023,632,137,15
0024,640,134,20
0025,640,135,25
0026,658,144,35
0027,659,153,25
0028,658,159,21
0029,666,159,23
0030,660,159,15
0031,672,167,27
0032,689,177,36
0033,699,169,28
0034,707,174,31
0035,703,175,23
0036,698,171,19
0037,705,173,18
0038,685,162,15
0039,686,154,25
0040,697,174,48
0041,703,187,42
0042,689,186,22
0043,679,181,15
0044,695,195,31
0045,698,199,20
0046,696,193,21
0047,707,178,32
0048,708,159,24
0049,697,153,13
0050,697,154,17
0051,699,140,17
0052,705,151,31
0053,723,164,36
0054,746,173,43
0055,746,174,23
0056,724,174,14
0057,710,169,14
0058,712,176,24
0059,712,170,24
0060,733,171,36
0061,768,190,63
0062,778,210,42
0063,774,222,25
0064,766,230,21
0065,763,228,21
0066,768,228,26
0067,779,222,30
0068,811,208,51
0069,824,207,42
0070,807,211,29
0071,788,212,23
0072,778,203,11
0073,778,195,16
0074,782,203,36
0075,791,182,28
0076,791,160,20
0077,777,150,18
0078,779,150,24
0079,785,161,20
0080,786,162,17
0081,799,156,29
0082,830,185,57
0083,822,191,28
0084,799,193,22
0085,801,193,25
0086,804,188,15
0087,822,201,30
0088,820,192,20
0089,816,157,21

#  
# Start date: 20230123
# End date: 20230422
Nth day,DAU / MAU,DAU / WAU,WAU / MAU
0000,0.04585152838427948,0.16030534351145037,0.28602620087336245
0001,0.03017241379310345,0.1044776119402985,0.28879310344827586
0002,0.035864978902953586,0.1328125,0.270042194092827
0003,0.03958333333333333,0.1450381679389313,0.27291666666666664
0004,0.049586776859504134,0.18604651162790697,0.2665289256198347
0005,0.05432595573440644,0.20149253731343283,0.26961770623742454
0006,0.04609218436873747,0.16428571428571428,0.280561122244489
0007,0.016632016632016633,0.06299212598425197,0.26403326403326405
0008,0.07072691552062868,0.24324324324324326,0.2907662082514735
0009,0.049523809523809526,0.16560509554140126,0.29904761904761906
0010,0.06985294117647059,0.21348314606741572,0.3272058823529412
0011,0.06690140845070422,0.19791666666666666,0.3380281690140845
0012,0.06292517006802721,0.18407960199004975,0.34183673469387754
0013,0.0387858347386172,0.115,0.3372681281618887
0014,0.025597269624573378,0.07281553398058252,0.3515358361774744
0015,0.030821917808219176,0.09473684210526316,0.3253424657534247
0016,0.03697478991596639,0.11891891891891893,0.31092436974789917
0017,0.03642384105960265,0.1301775147928994,0.27980132450331124
0018,0.0372168284789644,0.14743589743589744,0.2524271844660194
0019,0.039619651347068144,0.1736111111111111,0.22820919175911253
0020,0.026729559748427674,0.12408759124087591,0.21540880503144655
0021,0.02689873417721519,0.12318840579710146,0.21835443037974683
0022,0.0390015600624025,0.1724137931034483,0.22620904836193448
0023,0.023734177215189875,0.10948905109489052,0.21677215189873417
0024,0.03125,0.14925373134328357,0.209375
0025,0.0390625,0.18518518518518517,0.2109375
0026,0.05319148936170213,0.24305555555555555,0.2188449848024316
0027,0.03793626707132018,0.16339869281045752,0.2321699544764795
0028,0.031914893617021274,0.1320754716981132,0.24164133738601823
0029,0.03453453453453453,0.14465408805031446,0.23873873873873874
0030,0.022727272727272728,0.09433962264150944,0.2409090909090909
0031,0.04017857142857143,0.16167664670658682,0.24851190476190477
0032,0.05224963715529753,0.2033898305084746,0.25689404934687954
0033,0.04005722460658083,0.16568047337278108,0.24177396280400573
0034,0.04384724186704385,0.1781609195402299,0.24611032531824611
0035,0.032716927453769556,0.13142857142857142,0.24893314366998578
0036,0.027220630372492838,0.1111111111111111,0.24498567335243554
0037,0.02553191489361702,0.10404624277456648,0.2453900709219858
0038,0.021897810218978103,0.09259259259259259,0.2364963503649635
0039,0.03644314868804665,0.16233766233766234,0.22448979591836735
0040,0.06886657101865136,0.27586206896551724,0.24964131994261118
0041,0.059743954480796585,0.22459893048128343,0.26600284495021337
0042,0.03193033381712627,0.11827956989247312,0.26995645863570394
0043,0.022091310751104567,0.08287292817679558,0.2665684830633284
0044,0.04460431654676259,0.15897435897435896,0.2805755395683453
0045,0.02865329512893983,0.10050251256281408,0.2851002865329513
0046,0.03017241379310345,0.10880829015544041,0.27729885057471265
0047,0.04526166902404526,0.1797752808988764,0.25176803394625175
0048,0.03389830508474576,0.1509433962264151,0.2245762711864407
0049,0.018651362984218076,0.08496732026143791,0.21951219512195122
0050,0.024390243902439025,0.11038961038961038,0.22094691535150646
0051,0.024320457796852647,0.12142857142857143,0.20028612303290416
0052,0.04397163120567376,0.2052980132450331,0.21418439716312057
0053,0.04979253112033195,0.21951219512195122,0.2268326417704011
0054,0.057640750670241284,0.24855491329479767,0.23190348525469168
0055,0.030831099195710455,0.13218390804597702,0.23324396782841822
0056,0.019337016574585635,0.08045977011494253,0.24033149171270718
0057,0.01971830985915493,0.08284023668639054,0.2380281690140845
0058,0.033707865168539325,0.13636363636363635,0.24719101123595505
0059,0.033707865168539325,0.1411764705882353,0.23876404494382023
0060,0.04911323328785812,0.21052631578947367,0.23328785811732605
0061,0.08203125,0.33157894736842103,0.24739583333333334
0062,0.05398457583547558,0.2,0.2699228791773779
0063,0.03229974160206718,0.11261261261261261,0.2868217054263566
0064,0.02741514360313316,0.09130434782608696,0.3002610966057441
0065,0.027522935779816515,0.09210526315789473,0.29882044560943644
0066,0.033854166666666664,0.11403508771929824,0.296875
0067,0.038510911424903725,0.13513513513513514,0.28498074454428757
0068,0.06288532675709001,0.24519230769230768,0.2564734895191122
0069,0.050970873786407765,0.2028985507246377,0.2512135922330097
0070,0.03593556381660471,0.13744075829383887,0.2614622057001239
0071,0.02918781725888325,0.10849056603773585,0.26903553299492383
0072,0.014138817480719794,0.054187192118226604,0.2609254498714653
0073,0.02056555269922879,0.08205128205128205,0.2506426735218509
0074,0.04603580562659847,0.17733990147783252,0.2595907928388747
0075,0.035398230088495575,0.15384615384615385,0.23008849557522124
0076,0.025284450063211124,0.125,0.202275600505689
0077,0.023166023166023165,0.12,0.19305019305019305
0078,0.03080872913992298,0.16,0.1925545571245186
0079,0.025477707006369428,0.12422360248447205,0.2050955414012739
0080,0.021628498727735368,0.10493827160493827,0.20610687022900764
0081,0.03629536921151439,0.1858974358974359,0.19524405506883605
0082,0.06867469879518072,0.3081081081081081,0.22289156626506024
0083,0.0340632603406326,0.14659685863874344,0.23236009732360097
0084,0.02753441802252816,0.11398963730569948,0.24155193992490614
0085,0.031210986267166042,0.12953367875647667,0.24094881398252185
0086,0.018656716417910446,0.0797872340425532,0.23383084577114427
0087,0.0364963503649635,0.14925373134328357,0.24452554744525548
0088,0.024390243902439025,0.10416666666666667,0.23414634146341465
0089,0.025735294117647058,0.1337579617834395,0.19240196078431374

#  
# Start date: 20230123
# End date: 20230422
Interests,Users


#  
# Start date: 20230123
# End date: 20230422
Device model,Users
iPhone,1356
Chrome,136
Safari,125
Edge,35
iPad,8
SM-G998U,22
Firefox,15
SM-G991U,17
ChromeBook,14
SM-G781V,15
SM-S908U,24
SM-G960U,4
SM-G996U,8
SM-S901U,19
SM-G975U,9
SM-G973U,7
SM-G965U,6
SM-G950U,7
iPhone 12,6
SM-G781U,5
SM-G986U,6
Pixel 6,8
SM-N986U,6
iPhone 13,9
SM-G970U,2
Moto G Power (2022),10
Pixel 6 Pro,6
SM-A426U,4
SM-S906U,9
Pixel 4a,3
Pixel 5a,3
SM-G988U,5
SM-N960U,1
Moto G Stylus 5G,5
SM-N975U,3
SM-N981U,5
Moto Z4,2
Pixel 2,2
SM-S515DL,4
iPhone 11,5
iPhone XR,1
moto g pure,4
Pixel 5,3
SM-A115AZ,1
SM-A505U,2
SM-A526U,2
SM-G965U1,1
SM-G975U1,2
SM-G998U1,4
SM-N950U,2
SM-S102DL,4
iPhone 13 Pro,2
iPhone 13 Pro Max,6
iPhone 14 Pro Max,6
LGL455DL,2
Moto G Power (2021),3
Moto G Stylus,4
SM-A125U,2
SM-F711U,5
iPhone XS,1
KFKAWI,2
KFTRWI,1
Moto e (XT2052DL),2
Pixel 6a,4
SM-A326B,4
SM-A326U,0
SM-A515U,1
SM-A516V,0
SM-A716U,2
SM-G781U1,0
SM-G930V,2
SM-G955U,0
SM-G970U1,1
SM-G981U,1
SM-G991U1,1
SM-N970U,2
SM-S134DL,4
SM-S918U,4
SM-T580,0
iPhone 7 Plus,1
iPhone 8,2
iPhone SE (2nd generation),2
LM-Q720,1
LM-Q730,2
Moto G Stylus (2022),3
One 5G UW,3
Opera,2
Pixel 3 XL,1
Pixel 3a,0
Pixel 4a (5G),0
Pixel 7,3
Pixel 7 Pro,3
SM-A136U,3
SM-A215DL,2
SM-A215U,1
SM-G981V,1
SM-G990U,1
SM-J737V,0
SM-N976U,1
SM-N976V,1
SM-S767VL,0
SM-S916U,3
edge (2021),1
iPhone 11 Pro,0
iPhone 11 Pro Max,1
iPhone 12 Pro,1
one 5G ace,2
A509DL,1
A6013,1
B130DL,0
BE2028,1
EML-AL00,0
Firefox for Android,2
IN2017,1
L722DL,0
LM-G710VM,0
LM-K500,2
LM-K920,1
Moto G Stylus 5G (2022),2
Moto G7 Power,1
Moto Z3,1
Moto g(7),1
One 5G UW Ace,2
Pixel 4 XL,1
REVVL V+ 5G,1
SM-A025V,1
SM-A037U,2
SM-A102U,0
SM-A536V,2
SM-F936U,2
SM-G892A,0
SM-G950U1,0
SM-G960U1,0
SM-G960W,1
SM-G973U1,1
SM-G981U1,0
SM-G988U1,2
SM-G990U1,2
SM-G990U2,2
SM-J320V,0
SM-N986U1,0
SM-S124DL,0
SM-S127DL,2
SM-S136DL,2
SM-S205DL,0
SM-S215DL,0
SM-S506DL,0
SM-S908E,2
SM-S908U1,2
iPhone 12 mini,1
iPhone 14,2
iPhone 7,1
iPhone 8 Plus,1
iPhone XS Max,2
moto e,2
moto g(7) optimo maxx(XT1955DL),0
100011886,0
5087Z,1
A507DL,0
AFTT,0
B131DL,1
BE2025,0
BLA-A09,0
DE2118,1
E6910,1
EA211002,0
EC211001,1
Edge (2022),1
Edge 5G UW,1
Edge Plus 5G UW (2022),1
FTU18A00,0
GM1901,0
H870DS,1
HD1907,0
HPP-GS1,1
IN2019,0
K425,0
KFDOWI,0
KFFOWI,0
KFMAWI,1
KFTBWI,0
KFTHWI,0
KSFUWI,0
L322DL,0
LE2115,1
LE2117,1
LE2125,0
LG-US701,0
LGL355DL,0
LGL555DL,0
LM-G820V,0
LM-G900,1
LM-Q620,1
LM-V350,0
LM-V405,1
LM-V600,0
LM-X320,0
M2004J19C,1
M2012K11AI,1
Moto E6,0
Moto G 5G (2022),1
Moto G7 Play,0
Moto Z2,0
One Action,0
Pixel 2 XL,0
Pixel 3a XL,0
RMX3085,1
S61,0
SM-A015U1,0
SM-A015V,0
SM-A025U,1
SM-A025U1,0
SM-A115A,0
SM-A115U,1
SM-A135U1,1
SM-A146U,1
SM-A205G,1
SM-A205U,0
SM-A326W,0
SM-A426DL,1
SM-A505U1,1
SM-A515U1,0
SM-A525F,1
SM-A536E,1
SM-A710F,1
SM-A716V,1
SM-F916U,0
SM-F926U,1
SM-F936U1,1
SM-G892U,0
SM-G900V,0
SM-G920V,0
SM-G930A,0
SM-G930T,0
SM-G930VL,1
SM-G935V,0
SM-G960F,1
SM-J327AZ,0
SM-J337A,0
SM-J337U,0
SM-J337V,1
SM-J727V,1
SM-J737A,0
SM-J737T,0
SM-M317F,0
SM-N960U1,0
SM-N981U1,1
SM-P610,1
SM-P613,1
SM-S326DL,0
SM-S901U1,1
SM-T290,0
SM-T307U,0
SM-T387V,0
SM-T510,0
SM-T720,0
SM-T830,0
SM-T867U,0
SM-T978U,0
SM-X900,1
STK-LX3,1
T790W,0
TMAF035G,1
V2026,1
VK810,0
VS501,0
X410.FGN,0
X680B,1
XT2005DL,0
Z971,0
iPad (7th gen),1
iPad (8th gen),0
iPad Pro (12.9-inch) (4th generation),0
iPad Pro (12.9-inch) (5th generation),1
iPad Pro 10.5,1
iPhone 14 Pro,1
iPhone 6s,0
moto g play (XT2093DL),0
moto g stylus (2021),0
Keyword Stats 2023-04-23 at 00_30_29
"April 1, 2022 - March 31, 2023"
Keyword	Currency	Segmentation	Avg. monthly searches	Three month change	YoY change	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic average position	Organic impression share	In Account	Searches: Apr 2022	Searches: May 2022	Searches: Jun 2022	Searches: Jul 2022	Searches: Aug 2022	Searches: Sep 2022	Searches: Oct 2022	Searches: Nov 2022	Searches: Dec 2022	Searches: Jan 2023	Searches: Feb 2023	Searches: Mar 2023
		All	132650.0																						
		Cookeville	121716.0																						
		Baxter	6382.0																						
		Putnam County	4552.0																						
17 hands coffee menu	USD																								
1950 ice cream shop	USD																								
2 scoops ice cream shop menu	USD																								
32 flavors	USD		50.0	0%	0%																				
32 flavors of ice cream	USD		0.0	0%	0%																				
3d ice cream	USD		50.0	0%	0%																				
40 flavors ice cream	USD																								
8 degrees fahrenheit hixson	USD																								
8 f ice cream	USD		50.0	0%	0%																				
a birthday place near me	USD		50.0	0%	-100%																				
activities in cookeville tn	USD		50.0	0%	0%	Low	2																		
activities near me	USD		50.0	0%	0%	Low	0																		
alkali in ice cream	USD																								
all city ice cream	USD																								
all city ice cream menu	USD																								
all ice cream flavors	USD		50.0	0%	0%																				
am ice cream menu	USD																								
american chocolate acid	USD																								
american creamery menu	USD																								
american honey creamery and coffee co	USD																								
american honey creamery and coffee co menu	USD																								
american honey creamery menu	USD																								
americano dream ice cream	USD																								
americano ice cream	USD																								
an ice cream or ice cream	USD																								
at cream	USD																								
attractions near me	USD		50.0	0%	0%	Low	6																		
authentic ice cream near me	USD		50.0	0%	0%																				
baby shower rentals near me	USD																								
back in touch cookeville tn	USD		50.0	0%	0%	Low	0																		
back n touch cookeville	USD		50.0	0%	0%	Low	0																		
bakeries in cookeville tn	USD		500.0	900%	0%	Low	2																		
banana ice cream near me	USD		50.0	∞	∞	High	100																		
banana pudding milkshake	USD		50.0	∞	∞	Low	14																		
banana split	USD		50.0	0%	0%	Medium	38																		
banana split near me	USD		50.0	0%	0%	Low	0																		
baskin robbins cookeville tn	USD		50.0	0%	0%	Low	1																		
bbq cookeville	USD		500.0	900%	0%	Low	2																		
beans n cream coffee house	USD																								
beans n cream coffee house menu	USD																								
beans n cream menu	USD																								
best banana pudding near me	USD		50.0	0%	-100%																				
best coffee ice cream near me	USD																								
best dessert near me	USD		50.0	∞	0%	Low	0																		
best food in cookeville	USD		50.0	0%	0%	Low	0																		
best ice cream near me	USD		50.0	∞	0%	Low	18																		
best lunch nearby	USD		50.0	∞	∞	Low	10																		
best place to get ice cream near me	USD		0.0	0%	-100%																				
best place to host a birthday party	USD		50.0	0%	0%																				
best restaurants cookeville	USD		50.0	900%	900%	Low	2																		
best restaurants in cookeville tn	USD		500.0	0%	0%	Low	3																		
best sweets near me	USD		50.0	0%	0%																				
best venue for birthday party near me	USD		0.0	0%	-100%																				
birthday cake milkshake near me	USD		50.0	0%	0%																				
birthday packages near me	USD		0.0	0%	-100%																				
birthday party rooms	USD		50.0	0%	-100%																				
birthday party venues cookeville	USD																								
birthday party venues near me	USD		50.0	0%	0%	Low	0																		
black cherry ice cream near me	USD		50.0	0%	∞	High	100																		
black cone ice cream near me	USD																								
black ice cream flavors	USD		0.0	0%	0%																				
black ice cream near me	USD		0.0	0%	0%																				
black raspberry truffle ice cream	USD																								
blend coffee house	USD																								
blended ice cream	USD		50.0	-100%	0%																				
bliss ice cream & coffee menu	USD																								
blondie cone	USD																								
blondie cone menu	USD																								
blue and yellow ice cream	USD																								
blue color ice cream flavors	USD																								
blue ice cream flavors	USD		0.0	0%	0%																				
blue ice cream names	USD																								
blueberry cheesecake near me	USD		0.0	0%	0%																				
blueberry soft serve ice cream near me	USD																								
boba tea 4 me	USD		50.0	0%	0%	Low	1																		
boba tea 4 me cookeville tn	USD																								
book a party near me	USD		50.0	0%	0%																				
book a party room	USD																								
book party room	USD																								
book store cookeville	USD		50.0	0%	0%	Low	2																		
book store cookeville tn	USD		50.0	0%	0%	Low	4																		
breve coffee near me	USD																								
broad street coffee	USD		0.0	0%	0%																				
broad street ice cream	USD																								
broast coffee	USD		50.0	0%	-90%	Low	1																		
broast cookeville tn	USD		50.0	0%	0%	Low	0																		
brownie batter overload culvers	USD																								
brownie ice cream near me	USD		50.0	∞	∞	Low	14																		
business in cookeville tn	USD		50.0	0%	0%	Low	1																		
butter ice cream flavors	USD		0.0	0%	-100%																				
butter_ice_cream menu	USD																								
buttermilk cherry flavored vape juice	USD																								
butterscotch ice cream near me	USD		0.0	0%	0%																				
butterscotch malt near me	USD																								
buy fudge tn	USD																								
buy my house cookeville	USD																								
byu creamery flavors	USD																								
cafe grandma neon sign	USD																								
cafe near me	USD		50.0	0%	0%	Low	0																		
cake batter ice cream near me	USD		50.0	0%	0%																				
cake near me	USD		50.0	0%	0%	Medium	54																		
cake shakes near me	USD		50.0	0%	0%																				
caramel ice cream near me	USD																								
caramel variegate	USD																								
carob gum in ice cream	USD																								
carrageenan alcohol	USD																								
carrageenan free ice cream	USD																								
carrageenan in ice cream	USD		0.0	0%	0%																				
cayenne pepper ice cream	USD																								
ccs ice cream	USD																								
cheap coffee near me	USD		50.0	0%	0%																				
cheap ice cream cones near me	USD		50.0	0%	-100%																				
cheap ice cream near me	USD		50.0	0%	∞	Low	14																		
cheesecake ice cream near me	USD		50.0	0%	0%																				
cherry mania ice cream	USD																								
chocolate covered strawberries cookeville tn	USD		50.0	-100%	0%																				
chocolate ice cream cone near me	USD																								
chocolate ice cream dreamlight valley	USD		50.0	-100%	0%																				
chocolate ice cream flavors	USD		50.0	-100%	0%																				
chris ice cream corp	USD																								
churros near me	USD		50.0	0%	0%	Low	10																		
cities near cookeville tn	USD		50.0	0%	0%	Low	0																		
citric acid and sodium benzoate	USD		0.0	0%	0%																				
citric acid in ice cream	USD																								
city cafe	USD		50.0	0%	0%	Low	0																		
city cafe menu	USD		50.0	∞	0%	Low	0																		
city coffee	USD																								
city coffee house	USD																								
city coffee shop	USD		0.0	0%	0%																				
city coffee shop menu	USD																								
city cream	USD		50.0	0%	∞	Low	0																		
city creamery	USD		50.0	0%	0%																				
city creamery menu	USD																								
city creamery rome ga	USD		0.0	0%	0%																				
city house	USD		50.0	0%	0%	Low	0																		
city house coffee	USD																								
city house menu	USD		50.0	0%	0%	Low	0																		
city ice	USD		0.0	0%	0%																				
city ice company	USD																								
city ice cream	USD		50.0	∞	∞	Low	0																		
city ice cream cafe	USD																								
city ice cream menu	USD																								
city lake cookeville tn	USD		50.0	0%	0%	Low	0																		
city menu	USD		50.0	0%	-100%																				
city moisturizer	USD																								
city of cookeville	USD		500.0	0%	-90%	Low	0																		
city of cookeville jobs	USD		500.0	0%	0%	Low	4	0.16	0.63																
city of cookeville phone number	USD		50.0	0%	0%	Low	0																		
city of cookeville public works	USD		50.0	0%	0%	Low	0																		
city of cookeville tn	USD		50.0	0%	0%	Low	0																		
city of cookeville tn jobs	USD		50.0	0%	0%	Low	1																		
city of cookeville water	USD		50.0	0%	0%	Low	0																		
city of cream	USD																								
city of ice	USD		0.0	0%	0%																				
city of ice cream	USD																								
city party	USD		5000.0	0%	0%	Low	18	0.22	0.35																
city plus cream	USD																								
city scoops creamery	USD																								
city scoops creamery menu	USD																								
city scoops edwardsville il	USD																								
city scoops troy il	USD																								
city variety of ice cream	USD																								
citys	USD		50.0	0%	0%	Low	0																		
closest coffee shop near me	USD		50.0	-100%	-100%																				
closest ice cream shop to my location	USD		0.0	0%	-100%																				
coco nutters ice cream	USD																								
coconut road ice cream	USD		50.0	∞	∞	High	100																		
coffe places	USD		50.0	0%	0%	Low	0																		
coffee	USD		500.0	0%	0%	Low	19	0.95	2.23																
coffee & cream menu	USD																								
coffee and cream	USD		50.0	∞	∞	Low	0																		
coffee and cream hours	USD																								
coffee and cream menu	USD																								
coffee and cream near me	USD																								
coffee and creamery	USD		50.0	0%	0%																				
coffee and gelato near me	USD																								
coffee and ice cream near me	USD		50.0	∞	∞	Low	0																		
coffee and ice cream shop near me	USD																								
coffee around me	USD		50.0	0%	-100%																				
coffee bar near me	USD		50.0	0%	0%																				
coffee bear ne	USD		50.0	∞	0%	Low	0																		
coffee cookeville	USD		50.0	0%	0%	Low	1																		
coffee cookeville tn	USD		50.0	0%	0%	Low	0																		
coffee cream design	USD																								
coffee cream menu	USD																								
coffee cream near me	USD																								
coffee flavored ice cream names	USD																								
coffee flavored ice cream near me	USD																								
coffee gelato near me	USD																								
coffee house cookies	USD																								
coffee house menu	USD		0.0	0%	0%																				
coffee house party	USD																								
coffee houses near me	USD		50.0	0%	0%	Low	0																		
coffee ice cream	USD		50.0	0%	0%	Low	5																		
coffee ice cream cake near me	USD																								
coffee ice cream delivery	USD																								
coffee ice cream delivery near me	USD																								
coffee ice cream flavors	USD		50.0	-100%	0%																				
coffee ice cream in a donut cone near me	USD		50.0	0%	0%																				
coffee ice cream names	USD		0.0	0%	0%																				
coffee ice cream near me	USD		50.0	-100%	0%																				
coffee ice cream toppings	USD																								
coffee ice cream with a shot of espresso	USD																								
coffee in cookeville	USD																								
coffee in cookeville tn	USD		50.0	0%	0%	Low	0																		
coffee in ice cream cone	USD		0.0	0%	0%																				
coffee me	USD		50.0	0%	0%																				
coffee mear me	USD																								
coffee n cream	USD		0.0	0%	0%																				
coffee n cream menu	USD																								
coffee near e	USD		50.0	0%	0%																				
coffee near me	USD		500.0	0%	0%	Low	1																		
coffee near me now	USD		50.0	-100%	-100%																				
coffee near us	USD		0.0	0%	0%																				
coffee on sale near me	USD		50.0	-100%	-100%																				
coffee open near me	USD		50.0	0%	0%	Low	5																		
coffee oreo ice cream near me	USD																								
coffee parties	USD		0.0	0%	0%																				
coffee places near me	USD		50.0	0%	0%	Low	0																		
coffee plus cream	USD																								
coffee plus ice cream	USD																								
coffee shop cookeville tn	USD		50.0	0%	0%	Low	0																		
coffee shop ice cream	USD		0.0	0%	0%																				
coffee shop mear me	USD																								
coffee shop near me now	USD		50.0	0%	0%	Low	7																		
coffee shop with ice cream	USD																								
coffee shops	USD		500.0	0%	0%	Low	2																		
coffee shops cookeville	USD		50.0	0%	0%	Low	0																		
coffee shops in cookeville	USD		50.0	0%	0%	Low	0																		
coffee shops in cookeville tennessee	USD		50.0	0%	0%	Low	0																		
coffee shops in cookeville tn	USD		50.0	0%	0%	Low	0																		
coffee shops near me	USD		500.0	0%	0%	Low	1																		
coffee shops open near me	USD		50.0	0%	0%	Low	0																		
coffee shops open on sundays near me	USD		50.0	-100%	0%																				
coffee shops with event space	USD		50.0	0%	0%																				
coffee soft serve ice cream	USD																								
coffee sorbet	USD																								
coffee syrup near me	USD		50.0	0%	-100%																				
coffee thiamine	USD																								
coffee with a scoop of ice cream	USD		0.0	0%	0%																				
coffee with cream design	USD																								
coffee with ice cream near me	USD																								
coffee with scoop of ice cream	USD																								
coffee_ice_cream	USD																								
coffee_ice_cream menu	USD																								
cones ice cream	USD		50.0	0%	0%	High	100																		
cookesville	USD		50.0	0%	∞	Low	0																		
cookeville	USD		5000.0	0%	0%	Low	1	0.37	0.98																
cookeville activities	USD		50.0	0%	0%	Low	2																		
cookeville attractions	USD		50.0	0%	0%	Low	0																		
cookeville bullseye	USD		50.0	0%	0%	Low	1																		
cookeville coffee	USD																								
