Top queries,Last 3 months (2023) Clicks,Last 3 months (2022) Clicks,Last 3 months (2023) Impressions,Last 3 months (2022) Impressions,Last 3 months (2023) CTR,Last 3 months (2022) CTR,Last 3 months (2023) Position,Last 3 months (2022) Position
hot fudge ice cream near me,0,0,46,0,0%,0%,88.39,0
ice cream sign,0,0,46,0,0%,0%,92.7,0
the gelato cone menu,0,0,45,1,0%,0%,78.56,96
"birthday party venues cookeville, tn",0,0,44,0,0%,0%,8.75,0
city of ice cream,0,0,44,3,0%,0%,9.2,16
yellow ice cream,0,0,44,0,0%,0%,81.57,0
city ice,0,0,43,33,0%,0%,40.88,61.91
coffee ice cream flavors,0,0,42,36,0%,0%,50.6,71.61
sorbet around me,0,0,42,0,0%,0%,65.14,0
coffee shop near me,0,1,41,25,0%,4%,6.51,11.08
city cookeville,0,0,41,3,0%,0%,7.51,16
cr me in,0,0,41,0,0%,0%,60.63,0
waffle house west broad street,0,0,41,0,0%,0%,72.1,0
black cone ice cream near me,0,0,41,0,0%,0%,87.2,0
scoop cookeville,0,0,40,2,0%,0%,11.32,8
e ice cream,0,0,40,63,0%,0%,26.1,72.05
coffee ice cream delivery,0,0,40,0,0%,0%,51.2,0
ice cream shop near me,0,0,40,7,0%,0%,68.85,14.14
coffee shops in cookeville,0,0,39,7,0%,0%,12.44,10.57
party city cookeville tn,0,0,39,26,0%,0%,21.05,36.58
raspberries n' creme menu,0,0,39,0,0%,0%,67.64,0
ice cream in city,0,0,38,14,0%,0%,17.84,10.79
ice cream house com,0,0,37,21,0%,0%,68.7,70.57
white tech cream,0,0,36,1,0%,0%,49.28,77
cream in coffee,0,0,36,0,0%,0%,87.94,0
ice cream local near me,0,0,35,0,0%,0%,35.8,0
cookeville sign store near me,0,0,35,1,0%,0%,51.6,90
waffle house west broad,0,0,35,0,0%,0%,56.69,0
icecream flavors,0,0,34,1,0%,0%,12.79,45
cookeville weather,0,0,34,0,0%,0%,72.29,0
cookeville window company,0,0,34,0,0%,0%,79.94,0
ice cream downtown nashville,0,0,33,0,0%,0%,77.73,0
drip n scoop menu,0,0,33,2,0%,0%,78.73,35.5
cream flavors,0,0,33,1,0%,0%,87.45,73
thiamine cream,0,0,32,0,0%,0%,39.16,0
velvet ice cream flavors,0,0,31,22,0%,0%,65.1,85.36
stellar coffee ice cream,0,0,30,11,0%,0%,16.47,19.36
rich's ice cream ii menu,0,0,30,2,0%,0%,41.57,60
just cream ice cream boutique menu,0,0,30,0,0%,0%,61.53,0
orange soft serve ice cream near me,0,0,30,0,0%,0%,83.3,0
ice cream shop layout,0,0,30,0,0%,0%,97.1,0
cookeville sign makers near me,0,0,29,27,0%,0%,31.17,61.11
ice cream orange city,0,0,29,0,0%,0%,35,0
milky treats ice menu,0,0,29,0,0%,0%,45.38,0
cream house,0,0,29,16,0%,0%,57.52,60.31
coffee sorbet,0,0,29,0,0%,0%,75.79,0
cookeville window companies,0,0,28,0,0%,0%,79.71,0
how old is ice cream,0,0,27,0,0%,0%,34.67,0
nicecream menu,0,0,27,0,0%,0%,59.74,0
what to do in cookeville tn,0,0,27,0,0%,0%,68.48,0
let cream,0,0,27,0,0%,0%,75.93,0
to cream,0,0,27,0,0%,0%,87.3,0
ice cream in a cone near me,0,0,27,0,0%,0%,89.11,0
icecream near me,0,0,26,9,0%,0%,15.19,3.67
coffee and cream menu,0,0,26,12,0%,0%,33.23,70.67
ice cream next to me,0,0,26,0,0%,0%,39.88,0
cream coffee shop,0,0,25,9,0%,0%,20.52,61.33
hot ice cream near me,0,0,25,1,0%,0%,44.48,4
hudsonville creamery blend vanilla ice cream,0,0,25,0,0%,0%,101.2,0
all flavors of ice cream,0,0,24,0,0%,0%,42.54,0
soft serve ice cream near me,0,0,24,2,0%,0%,51.04,11.5
ice cream ice cream ice cream ice cream,0,0,24,0,0%,0%,76.88,0
cream ice cream shop near me,0,0,24,0,0%,0%,91.46,0
red ice cream flavors,0,0,23,11,0%,0%,23.87,60.91
cream city construction,0,0,23,23,0%,0%,70.17,44
soft and cream near me,0,0,23,0,0%,0%,76.43,0
iris bookcafe menu,0,0,23,0,0%,0%,91.57,0
cheesecake ice cream near me,0,0,23,1,0%,0%,94.78,87
cream city ice cream & coffee house photos,0,0,22,0,0%,0%,2.91,0
city of cookeville tn,0,0,22,27,0%,0%,25.82,34.78
water and ice cream near me,0,0,22,0,0%,0%,76.5,0
creamery near me,0,2,21,31,0%,6.45%,1.76,2.19
things to do in cookeville,0,0,21,0,0%,0%,1.76,0
party city cookeville,0,0,21,18,0%,0%,21.43,35.67
neighbors tea and dessert house menu,0,0,21,0,0%,0%,72.38,0
local ice cream shops near me,0,0,21,0,0%,0%,76.62,0
the cream,0,0,21,0,0%,0%,79.86,0
taste & see creamery menu,0,0,21,2,0%,0%,80.86,73
scoops & cones cafe menu,0,0,21,0,0%,0%,85.71,0
gelato and coffee near me,0,0,20,0,0%,0%,18.9,0
tn ice,0,0,20,8,0%,0%,27.3,35.25
michigan coffee + creamery co. menu,0,0,20,0,0%,0%,52.55,0
cookeville tenn,0,0,20,1,0%,0%,68.25,100
icecream city,0,2,19,11,0%,18.18%,8.84,7.91
cream city ribbon,0,0,19,0,0%,0%,53.89,0
ice cream places around me,0,0,19,0,0%,0%,68.26,0
how far is cookeville from nashville,0,0,19,0,0%,0%,92.53,0
coffee shops,0,0,18,1,0%,0%,10,1
coffee and gelato near me,0,0,18,0,0%,0%,28.94,0
ice cream places open near me,0,0,18,3,0%,0%,49.39,5.33
ice cream shop contractor company,0,0,18,0,0%,0%,55.61,0
